Character_name;Freebase_character_ID;Actor_gender;Wikipedia_movie_ID;Coref_count;Main_actor;Adjectives;Verbs;Attributes
Tina;;F;5056637;22;1;[];['drink', 'say', 'go', 'get', 'need', 'want', 'start', 'begin', 'understand', 'try', 'decide', 'swim'];[]
Gavin;;M;5056637;19;2;[];['refuse', 'tell', 'have', 'realize', 'rush', 'arrive', 'use', 'attempt'];[]
Elaine;;F;5056637;14;3;[];['say', 'go', 'test', 'try', 'kill', 'recover'];[]
Mike;/m/0hc8j0m;M;5056637;5;4;[];['start', 'accept', 'leave'];[]
Philip;/m/0gyfmvs;M;5057034;15;0;[];['attempt', 'receive', 'inform', 'attempt', 'manage', 'take', 'return', 'prepare', 'convince', 'ask'];['head']
Stanley;/m/0h576pk;M;5057034;10;1;['deceased'];['stand', 'confess', 'threaten'];[]
Felix;/m/0h3bvw5;M;5057034;8;2;[];['run', 'run', 'arrive', 'steal', 'arrive', 'toss'];[]
Gracie;/m/0gymb0j;F;5057034;7;3;[];['chase', 'arrive', 'throw', 'throw', 'leave', 'take', 'disguise', 'pull', 'receive', 'offer', 'give'];['girlfriend']
Mrs. Munchnik;/m/0h35d0p;F;5057034;5;4;['unconscious'];['revive'];[]
Rollerblader;/m/0h1yxj4;F;5057034;3;5;['vengeful'];['disperse', 'barrel'];[]
Catherine;/m/0h15whk;F;5057034;2;6;['emotional'];['hand'];[]
Chris;;M;5057034;2;7;[];['sit'];['transvestite']
Susan;;F;5057034;2;8;[];['refuse', 'date'];[]
criminal;;M;5057034;1;9;[];[];[]
Lionel Dahmer;/m/0n552cp;M;5060456;10;0;[];['conduct', 'murder', 'kill', 'rationalize', 'stop', 'kill'];[]
Rodney;/m/0fpnxry;M;5060456;1;1;['young'];['escape'];[]
his;;M;5060456;1;2;[];[];[]
Michael;/m/02nwj1p;M;5068093;83;0;[];['live', 'feel', 'consider', 'harbor', 'meet', 'confide', 'succumb', 'seek', 'drive', 'accept', 'construct', 'ask', 'meet', 'deny', 'say', 'feel', 'refuse', 'claim', 'go', 'arrive', 'deny', 'see', 'point', 'sleep', 'receive', 'agree', 'try', 'get', 'leave', 'say', 'tell', 'want', 'have', 'promise', 'plan', 'confide', 'love', 'apologize', 'pull', 'go', 'tell', 'say', 'tell', 'confess', 'go', 'claim', 'follow', 'lock', 'stake', 'remain', 'see', 'take', 'go'];[]
Jenna;/m/0h5t2qz;F;5068093;29;1;[];['appear', 'claim', 'call', 'realize', 'confront', 'become', 'yell', 'ask', 'become', 'agree', 'begin', 'break', 'lament', 'open'];[]
Kim;/m/0gy988s;F;5068093;26;2;[];['confide', 'guess', 'tell', 'attend', 'hang', 'sense', 'say', 'invite', 'demand', 'take', 'visit'];[]
Chris;/m/02nwpnp;M;5068093;8;3;[];['suspect', 'leave', 'know', 'refuse'];[]
